,review
10,"음식 맛있어요.
반찬은 처음에 한번 가져다 주시고 나머지는 셀프바 이용하면 됩니다! 잔치국수도 있고 부추 버섯도 계속 이용해서 먹을수 있어요.
처음에 가면 술이랑 음료 넣은 통도 주시는데 엄청 시원해서 좋아요.
근데 직원분이 좀 친절했으면 좋겠네요. 사장님은 친절하신데.. 직원분이 설명해주시거나 그런게 친절했으면 좋겠네여~➿
더보기"
11,생각하던거보다 완전 괜찮아서 좋았어요 ! 다음에 또가서 못먹어보던것들 다 먹을계획입니다 :)
12,"이색적인 인테리어가 인상적이였어요
사장님이 앉는법부터 맛있게먹는방법까지 다 알려주세요
오리고기 이렇게 푸짐하게 나오는곳은 처음이였어요
다음에 또 방문의향 100%입니다
더보기"
13,"아이들이랑 민속촌 다녀오면서 호텔 가기전에 들렸어요. 너무 맛있고 친절해서 감동먹은 맛집이예요. 진심 사장님이랑 일하시는 분들 너무 친절하고 좋아요.
오리고기 안식게 따순 불판에서 먹을 수 있어 좋음.
진심 존맛탱입니다 ♡-♡
더보기"
14,"양이 진짜 많아서 배부른데도 너무 맛있어서 포기못하고 계속 입에 넣게 돼요... 캠핑 컨셉의 식당이라 그릇들부터 불멍영상이 나오는 스크린, 곳곳에 있는 오로라 조명, 테이블마다 있는 아이스박스 모두 감성이 충만했어요 오리고기에 부추랑 버섯 두부 다 맛있지만 파김치가 진짜 최고에요!! 사장님 감사합니다 번창하세요!!"
15,"사장님과 직원분들 친절하시고 잘 구워주세요
반찬이랑 메인메뉴 모두 맛있었습니다!!
돌판구이라 나물 구워먹으니 맛있네요!
누룽지도 jmt👍👍👍
더보기"
16,오랜만에 오리고기 먹었는데 잡내 하나도 안나고 완전 맛있게 먹었어요 무쌈에 얹어서 소주한잔 하면 완전 극락...❤️ 볶음밥도 맛있어서 처음에 1개 주문했다가 1개 더 시켜먹었어요 ㅋㅋㅋㅋ 앞으로 오리는 무조건 요기로 가려고요 돌판이라서 뜨뜻한데 얼음물수건 주셔서 덥지않게 먹을 수 있어요
17,여자친구와 100일기념으로 왔는데 음식도 맛있고 양도 많았어요.캠핑장 분위기라서 그런지 분위기 때문에 여자친구 참 좋아하더라고요!
18,17시 첫타임 예약하고 방문했어요! 돌판 온도와 음식이 빠르게 준비되니까 넘 좋더라구용ㅎㅎ 금방 나온 오리 양념 반마리도 잡내 하나 없고 진짜 맛있게 잘 먹고 왔어요~~ 부추전은 서비스로 주셨는데 바삭한 맛이..👍 마무리로 볶음밥까지 먹고 왔습니다 ㅋㅋㅋ 매장이 캠핑장 분위기라 이색적이에요! 오늘은 차 가지고 가서 술은 안마셨는데 나중엔 맥주한잔 하러 재방문 하려구요!!! 강추✨️
19,오리고기는 처음 먹어보는데 넘 맛있게 잘 먹고갑니다👍😃
20,자주오는 맛집입니다~ 캠핑장 온듯한 분위기에 하이볼까지 함께 먹을 수 있는 이색적인 분위기의 오리고기집 ㅎㅎ 오리고기는 비린내없이 신선한 아채와 배터지게 먹고왔어요. 친절하신 직원분들의 서비스와 힙한 분위기 강추 합니다:)
21,"분위기 캠핑감성에 직원분들 사장님 친절해서 종종 찾아오는 돌판오리구이집이에요
반반주문가능하니 두가지 구이 다 먹는게 젤좋습니당👍
다 구워줘서 먹기만하면됩니덩😙"
22,"둘이 가서 오리 반마리에 볶음밥이랑 서비스로 주신 감자전까지 배부르고 맛있게 먹고 왔어요!
양념으로 먹을까 고민하다가 기본으로 먹었는데
잡내도 없고 약간 튀기듯 구워진것도 맛있었어요!
서비스로 주신 감자전도 방금 막 구워주신거라 따뜻하고 바삭바삭 해서 좋았구요
더울까봐 선풍기에 에어컨에 차가운 물수건까지
엄청 친절하세요 ㅎㅎ
양념도 궁금해서 다음에 또 방문할게요!
더보기"
23,"와 여기 진짜 너무너무 맛있어요
오리 넘 부드럽고 주물럭 양념 대박이고 밑반찬 하나하나 다 넘 맛있고 국수 육수도 최고
분위기도 힙하고 사장님 직원분 다 왕친절
진짜 또 가고싶어요ㅋㅋ
더보기"
24,고기 냄새도 없고 넘 맛있어요!! 양념까지 완벽👍 술이 술술 들어가용ㅋㅋㅋㅋㅋㅋ아이스박스에 술도 담아주셔서 좋아요. 그리고 반찬들 다 넘 맛있어요~~특히 대파김치 꼭 드세여😋
25,"매콤한 오리구이가 돌판에서 너무 맛나게 익어서 진짜 맛있게 먹었네요 상추에 싸먹는 맛이란 진짜 최고네요 잡내도 없고 오리의맛 그대료 전해지네요.
볶음밥도 먹었는데 마무리는 역시 볶음밥 이네요.너무 맛있어요 ㅎ친절한 사장님도 감사합니다 ~^^"
26,"로컬 동네 맛집으로 유명한 자주오리돌판구이!
이름에 맞게 돌판에 구워 먹을 수 있고, 가게 분위기도 넘 특별해요!

실제로 정말 취향저격이라 싹쓸이 했네요..
현지인 맛집 인정합니다
재방문 의사 100%😋!!
더보기"
27,"여자친구랑 같이 방문했습니다 평일인데도 불구하고
사람이 정말 많았어요 그만큼 맛도 있었고 직원분들도 친절하셔서 맛있게 잘 먹었습니다 냉면이랑 볶음밥 꼭 드시길 바랍니다 감사합니다‼️"
28,너무 맛있어요!! 오리고기랑 양념도 맛있고 야채도 많아서 너무 좋아요! 밑반찬도 맛있고 소주도 시원해서 잘 먹었습니다! 사장님이 넘 친절하세오💖
29,"오리고기 좋아하는데 김량장동에 이런 맛집이 있는지 몰랐네요! 생오리고기랑 양념이랑 둘다 먹어봤는데
생오리고기는 완전 맛있고 양념도 잘배겨서 맛있었어요
양념에 버섯은 진짜 제 스타일! 순두부찌개에 밥도 먹었네요 오늘은 콜라 먹었는데 다음번엔 소주랑 같이 먹고 싶네요^^"
30,"속초에서 용인까지 3시간 30분 걸쳐서온
자주오리고기❣️
여자칭구랑 왔는데 너무 만족했어요❣️
음식도 맛있고 인테이러도 너무 좋구 사랑입니다
꼭오세요!!❤️
더보기"
31,"역시나 너무 맛있어요!! 삼겹살까지 먹고싶었는데 오늘은 둘이 와서 오리밖에 못먹었어욤 ㅜㅜ
사장님께서 요즘 고기 구워먹기 힘든 날씨라고 아이스박스에 시원한 물수건 넣어주셔서 목에 걸치고 먹었어요ㅋㅋㅋㅋ
좀 민망하긴하지만 그래서 더 시원하고 재미있게 먹을 수 있었네용 또 올게여!"
32,오리고기 너무 좋아하는데 남자친구랑 가서 맛있게 먹고왔습니다 ~~~ 캠핑 분위기 인테리어 멋져요 😎👍🏻👍🏻
33,양도 많고 진짜 맛있어요ㅠ 김량장 최고 맛집입니당 사장님도 친절하시고 직원분들도 예쁘고 잘생겼어용🫶 급하게 먹느라 사진을 못찍었네요ㅠㅠ 잘먹옸습니당👍
34,분위기도 좋고 맛있어요
35,"오리구이가 생각날때 방문하는곳인데
맛있어요!"
36,"말복날 !!!!

후회를 엄청한 선택이였다
너무 더운날이였는데 가게 안은 진짜 불구덩이같았다
연기 때문에 눈물,콧물 다 빼면서 음식을 먹어서인지 음식 먹으면서 얘기를 하려는건 생각조차 할수없다
자리도 신발벗고 앉아 먹는 곳이라 넘 불편했다
고기는 괜찮았지만
절대 여름엔 가고싶지 않은곳이다
진짜 덥다 너무!!!
더보기"
37,"생오리구이, 삼겹살을 먹었어요. 부추, 버섯을 넣고 함께 볶아 먹으니까 너무 맛있어요. 또 가보고싶은 맛집이더구요.
꼭 캠핑가서 먹는 분위기가 느껴졌어요. 가보신분들은 그 의미를 알겁니다. ㅎ 넘 좋았답니다."
38,"아이가 오리고기 좋아해서 찾아보고 방문했습니다.
첨에 사진 보고 아이랑 가기 괜찮나 걱정도 했는데 사장님 직원분들 너무 친절하게 해주셔서 편히 맛있게 잘먹고 왔습니다."
39,"잡내가 적고 제가 오리고기 좋아해서 유명맛집 다니는데
지지않는맛이에요!!! 서비스도 너무 친절하고 xx풍경보다 나아여"
40,오랜만에 오리고기 먹으러 간건데 정말 너무 맛있었어요!!!! 남자친구 데리고 왔는데 남자친구도 엄청 맛있다고 했어요🥹❤️👍 버섯 킬러라서 셀프바에 있는 버섯 왕창 구워먹고 즐거운 맛집 데이트 였습니다 ㅎㅎㅎㅎ 마무리 볶음밥은 존맛이니 꼭 드시길!!!!
41,여기 파김치가 킼!!!!
42,"자리 앉자마자 대빵큰 돌판(살면서 이렇게 큰 돌판 처음 봄😮)에 불 올려주세요! 돌판 달궈질동안 기다리는데 갑자기 사장님이 부침개 방금부친거 돌판에 올려놔주고 가심ㅋㅋㅋㅋㅋ 방금 갓구워서 뜨겁고 바삭한데 봄나물 무친거 올리니까 극락….💕
생오리고기는 말해뭐해 돌판에 지글지글 넘 맛있고 ㅠ 소맥 땡겼는데 차있어서 논알콜 패션후르츠하이볼 마셨어요 근데 와 에이드같이 시원한데 웬만한 카페보다 맛있었음!!
근데 여기 냉면맛집…?😅 냉면 면발부터 육수까지 너무 맛있어서 오리고기 돌돌말아서 먹었더니 기절…
돌판에 구워먹으라고 야채 주시는것도 감자 왤케 맛있어 아진짜ㅜㅜ 그와중에 사장님이 봄이니까 봄나물 많이먹으라고 나물 더 갖다주심!!
진짜 넘넘 잘먹고가요 용인오리고기 맛집 찾으시면 무조건 자주오라돌판구이 추천해요❤️
더보기"
43,맛있는 오리♡ 냉면은 뮤진짱 맛있어요!!
44,"오리고기 너무 맛있어요 🥹
그리고 버섯이랑 부추가 셀프바에 있는데 버섯구워서 먹으면 정말정말 촉촉부드럽고 오리고기랑 같이 먹으면 극락입니다 ㅎㅎ 완전 강추해여"
45,"생오리구이 흔하지 않은데
고기에서 신선함이 그대로 느껴져요!
잡내 전혀 없고
사장님의 손맛 가득한 봄나물 무침, 쌈 무… 정말 맛있어요!! 술 종류도 많아서 고르는 재미도 있고 아이스박스에 술 넣어두고 바로 바로 시원하게 먹을 수 있는것도 행복했어요 ㅎㅎ
사장님 손맛도 너무 좋지만 친근하고 따뜻해서 좋더라구요 ㅎㅎ 모두 맛보러 가세요!!
더보기"
46,이미 몇차례나 방문해서 검증된 용인맛집으로 생오리 로스구이 먹고싶을땐 꼭 여기와서 먹어요ㅎㅎㅎ김량장동에 오리고깃집이 있는게 우선 너무 좋고 생오리 한마리가 어쩜 이렇게 질좋고 싱싱한지 같이 나오는 곁들임 야채도 좋고 밑반찬도 다 맛있어용ㅎㅎ 오리는 뭐 맛있는거 아시겠디만 삼겹살이랑 볶음밥이 진짜 맛있기 때문에 꼭꼭 드셔보셔야해요!!!!!
47,"예전의 돌판구이 모습을 탈피해서 새로 바뀐 자주오리 돌판구이!! 맛과 가격은 가성비 맛집으로 최고입니다.ㅎㅎ
그리고 주류도 편하게 먹을 수 있고 야채 및 채소는 셀프바에서 무한리필 가능!! 가성비 최고의 오리집 예약은 필수!! 당일 한정판매!!"
48,"캠핑장분위기의 아늑하고 인테리어가 되게 이색적이에요
예약하고 가니까 불판도 미리 뎁혀놔주셨어요
평일인데도 사람이 북적북적하고
사장님도 너무 친절하셨습니다!
용인오리고기 맛집 이만한곳 없다고 생각해요👍🏻
더보기"
49,캠핑장분위기의 아늑한 인테리어가 마음에 들었던 곳이에요 예약을 미리 하고 가서 반찬부터 불판까지 세팅이 되어있어서 너무 좋았고 평일인데도 사람이 진짜 많더라고요~ 오리고기가 정말 담백하고 고소해 맛있었고 잡내가 하나도 없어서 마지막까지 맛있게 먹었어요 마무리 볶음밥까지 진짜 맛있게 먹은 용인기흥오리고기 맛집이에요~ ㅎㅎ 사장님도 친절하셔서 먹는 내내 기분이 좋았던 곳입니다~!!
50,"짱짱 맛있는 오리고기~!~!
대파김치 직접 담구신다는데
너무 맛있네요🥰"
51,"용인오리고기 맛집으로 강력 추천해요! 로스구이
너무 맛있고 고기도 부드럽네요 ㅎㅎ
캠핑 컨셉이라 이색적인 공간에서 식사하니 더 재밌구요
부모님 모시고 갔는데 너무 좋아하셔서 만족스러웠어용
볶음밥두 맛있고 직원분도 친절하세요💜
더보기"
52,분위기 힙하고 좋아요♡
53,"예약하고 가서 대기 없이 바로 먹을 수 있었어요
돌판에 먹을 수 있는 곳 많지 않은데 그래서 더 맛있는 것 같아여 특히 주물럭 강추입니다!!!
분위기도 좋구 사장님 넘 친절하십니당 또 갈게요"
54,"남편이랑 저녁먹으러 방문했는데
인테리어가 넘 멋졌어요!
둘이서 로스반판에 볶음밥 먹으니
딱 맞더라구용
담엔 한마리로 반반 먹어보려구용!
돌판에 구워먹는 오리로스 넘 맛있고
신선한 버섯과 부추,파를 구워먹으니 금상첨화입니다:)
다른반찬들도 다 맛있었어요!
재방문의사 100000%입니다!
더보기"
55,먹었던 오리중에 젤 젤 젤 맛있어오..👍🏻💖
56,"지인들과 모임자리를 알아보는도중
괜찮은곳이 있길래 가보았습니다 ㅎㅎ
나물도 직접캐서 반찬으로 나와요!
분위기도 독특해서
좋았어요! 좌식테이블이지만
우유박스로 의자만들어서 앉을수있어서
키크신분들도 나쁘지않을거같아요!
추천🤗
더보기"
57,"힙한 오리고기집이 있다고 해서 남편과 일부러 찾아갔는데 너무 좋았어요^^ 주차는 바로 옆 골목이나 처인구청에 하면 되고, 실내 인테리어는 트랜디한 캠핑감성 그대로라 정말 캠핑온 기분으로 먹었답니다. 고기도 잡내 없이 신선하고 논알콜 하이볼도 있어 상큼하게 함께 마시니 정말 꿀조합! 셀프바가 있어 채소도 반찬도 계속 먹다보니 배가 터질지경이었지만 푸짐하고 맛있게, 캠핑즐기다 온 기분입니다~~재방문의사 100%"
58,"오리고기 찾다가 불판이 매력적이라 방문.
가게에 들어가보니 불판뿐 아니라,
가게 전체 분위기가 캠핑 감성으로 독특하게 잘꾸며졌고, 맛있었어요.
사장님이 친절한건 덤이구요 😃
주차는 가게에 전화하셔야 열어주십니다!!
더보기"
59,"캠핑 감성 식당에다가 옮겨 놓을 것 같은 곳 !!@
넘 신박했고 술이 술술 들어가는 분위기 였어요 ㅎㅎ 겉과는 또 다른 반전이랄까?! ㅎㅎ
인테리어랑 분위기가 좋아서 그런지 몰라도
반찬도 너무 신선했고 양념도 맛났고 국도 맛있었고 알차서 너무 좋았어요 !!!

그리고 고기도 질이 좋은걸 쓰시는 것 같았고
싱싱해서 냄새 1도 안났네요 ㅎㅎ
야채들이랑 섞어서 먹으니 넘나 맛있고 ㅠㅠ
돌판에 볶음밥 사랑이쥬 ㅠㅠㅠㅠ
긁어먹는 재미에 맛에.넘 좋았네요 !!!
번창하세요 !!>_<
더보기"
60,분위기가 캠핑장 분위기라 정말 좋았고 사장님도 친절하게 상세히 설명해주시고 친근하셨어요! 고기도 맛있고 같이 곁들여먹는 음식들 모두 신선하고 좋았네요 볶음밥도 진짜진짜 맛있었습니다!!👍👍
61,맛있게 잘 먹었습니다
62,
63,"정말 맛있는 오리고기집이었습니다!
용인오리고기맛집 자주오리돌판🐤
돌판에 구워먹어서 더 맛들어졌습니다!
버섯, 부추, 콩나물 모두 다 무한리필이되고 쌈무와 싱싱한 상추와도 오리고기를 같이 먹었는데 정말 야들야들하니 맛있었습니다 👍
더보기"
64,사장님도 친절하시고 오리고기도 넘 맛있어요 양념으로 먹었는데 양념이 잘 베어서 쌈 싸먹어도 아주 좋았습니다🖤 인테리어도 힙 하고 캠핑 느낌 나서 데이트 하기도 정말 좋았고 마지막 볶음밥까지 완벽했어요💕 용인 맛집으로 완전 인정이요 재방문할게용💖
65,"생오리 로스 너무 부드럽고 냄새없어요
양념은 양념대로 너무 맛있어요
오리를 별로 좋아하지 않는편인데 너무 부드러워서
맛있게 먹었네요 반찬들이 특히 버섯.부추.대파김치
셀프로 계속 편하게 가져다먹을수 있어서 좋았구요
술이랑 음료도 미리 아이스박스에 넣어져서 테이블마다
셋팅 되어서 시원하게 마실수 있었어요
분위기도 캠핑느낌이라 좋았구요
대파김치 넘 맛있었어요
친절하셔서 더 기분좋게 먹었네요
진짜 오랜만에 정말 맛있는 오리고기 먹었네요ㅎㅎ
감사합니다 ~~~~
더보기"
66,오리오리오리🫨맛있어요👍🏻
67,"어린아이둘 성인둘 가서 오리반마리에 공기밥 그리거 하이볼 한잔 시켜서 배부르게 먹었어요 아이들더 잘먹고 마지믹에 공기밥에 시래기국 말아서 마무리 했네요
신선한 생오리 돌판에 구워 먹으니 너무 맛있더리구요

야채들도 여러종류 듬뿍 주시고 직접 만드신 반찬들도 딱 집밥 생각 나게 하는 맛이라 좋았어요 ~ 실내이지만 야외 느낌나고 인테리어도 한몫 하더라구요 ! 큰 스크린 보니 국가대표 경기 같은거 보면서 먹으면 넘 재밌을 것 같고 혹은 단체 모임으로 와도 넘 좋을 것 같았어요 ~

평일저녁 첫타임에 왔는데 처인구청에 주차여유있게 하고 잘 먹다 갔습니다 용인처인구오리고기 맛집 !! 재방문각 입니다 ~

더보기"
68,"국내산 오리를 당일 수급, 당일 소진 원칙으로 하신다는 사장님! 신선한 오리고기를 먹을 수 있어서 너무 좋았어요:) 분위기도 아늑한 캠핑장 같아서 더욱 좋았어요!
맛도 분위기도 너무 좋아 더 맛있게 먹고 갑니당👍🏻"
69,"분위기가 캠핑느낌나는데 가격착하고 맛있어요👍👍
애들도재밌어하고 오리고기 양도넉넉
대파김치 찐맛도리🫶
주물럭양념 대박입니다 쌈무랑조합 미쳤음...
다구워줘서 편해요
더보기"
70,"매번 올때마다 너무너무 맛있는 곳이에요!
고기 양도 많고 질도 좋고 오리고긴데도 정말 하나도 비린향 없이 잘 먹었어요 사이드메뉴들도 다 너무 맛있고 가게 인테리어도 예뻐요! 볶음밥 강추!!"
71,"커다란 돌판에서 구워먹는 오리로스👍
버섯 부추 등 같이 구워먹을 수 있고 밑반찬이 다양해서 좋았어요 !! 그리고 셀프바에서 무한정 가져다 먹을 수 있는 장점까지!! 오랜만에 맛있는 오리구이 먹고 갑니다 ♡ 하이볼 종류도 많아서 다양한 술과 즐길 수 있는 곳 !!"
72,"돌판에 구워먹는 오리로스구이가 이렇게 맛있을줄 몰랐어요! 밑반찬도 리필을 몇번했는지 몰라요 ㅎㅎ 고기는 양념장, 소금, 쌈 싸먹는데 다 맛있어요! 같이주시는 전이랑 두부도 별미에요~ 잘 먹고 갑니당!! 용인처인구맛집으로 인정합니다!"
73,"캬 오리믄 역시 맛있죠 사장님 알바생분 모두 너무 친절하시고 고기 양도 푸짐해요
공간 하나하나 사장님이 신경쓰신게 너무 보여서
더ㅠ좋았어용"
74,"맛있고 색다른 분위기라 좋았어요!
다만 너무 덥네요.....에어컨을 켜도 온도가 안내려가요 ㅜㅜ
겨울에 다시 방문할게요!"
75,입장하자마자 입이 똬! 벌어졌습니다! 캠핑분위기도 좋았고요 돌판위에 구워먹는 고기맛은 끝내줬어요! ㅋㅋ 친절한 사장님께서 얹여주시는 한땀한땀이 감동이였습니다! 아이스박술 잊을수 없어서 술이 술술~~ 들어갔어요. 둘이가든 셋이가든 단체가가든 만족할 맛집이네요!! 너무 맛있게 잘 먹고왔어요 또갈꼬예요~~🫶🏽
76,너무 맛있네요.다음에도 또 오고싶어요. 앞으로 자주 이용할듯 합니.! 직원분들도 너무 친절하고 좋았습니다. 잘먹고 갑니다. 감사합니다.
77,맛있고 친절하고 이색적이어서 너무 좋았어요 💙
78,너무 맛있습니다!!! 믿고 먹는 자주오리 ㅎㅎ 점점 더 맛있어지는건 기분탓이겠죠?🥺🥺 👍🏻-단골-
79,"고기도 신선하고 맛있구요
분위기도 아주 괜찮습니다
사장님이 너무 친절하셔서 이용하기도 좋았어요
다음에도 또 방문할께요
더보기"
80,"캠핑장에 와서 고기 먹는 느낌이라 재밌었고 더 맛있었어요.
오리고기도 질이 좋고 서비스로 주신 전도 너무 맛있어오!! 부추도 셀프로 양껏 먹을 수 있어 좋았습니다."
81,"엄마와 함께 방문했어요! 완전 분위기 맛집👍 캠핑 온 느낌을 즐길 수 있어요~! 캠핑 분위기 좋아하시고, 고기 좋아하시면 추천합니다💕 오리도 진짜 맛있고, 직원분들이 다들 너무 친절해서 재방문 의사 매우 있습니다😆"
82,"여러분 용인시내 오리집은 바로 여기입니다
오리 신선한게 느껴지고 때깔부터 달라요!!!!!🥰❤️
데이트하기 좋은 분위기에 신선한 재료까지 추천합니다~!!"
83,"예약 시간보다 일찍 도착했지만자리 확보를 서들러 해주셨어요. 둘이서 양념 반마리 먹었네요. 양념 과하지 않고 돌판에 구우니 담백하고 감칠맛 폭발. 쌈도 먹고 무절임에도 싸먹고. 삼채는 별미였어요. 사장님, 알바분 모두 친절. 밑반찬은 약하지만 메인인 오리는 맛있게 줄길수 있는 곳이예요"
84,"용인처인구맛집 김량장동 캠핑 오리고기 맛집^^
사장님 너무 친절하시고 넘 맛있어요❤️"
85,"인테리어 바뀌기 전부터 꾸준히 방문했던 곳인데 항상 맛있게 먹고 있어요ㅎㅎ
가게가 힙하고 주류 종류도 다양해져서 더 좋은 것 같아요! 김량장동 맛집으로 추천드립니당"
86,개존맛이에요 오리 질도 좋고 볶음밥도 맛있고 단체로 회식하기 좋아요 회식할꺼면 이리로 오시면 될 것같습니다 냉면도 맛있어요
87,"고기 질 좋고 양 좋고 가격도 합리적이에요!!!
고기도 맛있지만 반찬도 많아서 좋았고 하나하나 정성이 느껴지는 맛이랍니다
캠핑 분위기의 컨셉도 독특해서 좋았어요
데이트하기에도 좋고 회식할 때도 추천합니당
더보기"
88,"단체모임에 적합한 캠핑느낌이 나는 용인처인구 맛집 자주오리돌판두이 용인본점!!
오리고기가 비린내나지않고 신선해서 너무 맛있게
잘 먹고왔어요😊 맛있는 볶음밥까지 꼭 드시고오세요"
89,고기를 허겁지겁 먹느라ㅠㅠ 사진을 못 찍었어요.. 너무 맛있어서 ㅋㅋㅋㅋ 4번째 방문인데 친구들 데려오고 싶어서 같이 먹으러 왔습니다 ㅎㅎ 사장님 알바생분들 친절하시고 고기잡내가 없고 매콤하니 맛있어요 🥺🥺 또 올게요 -단골-
90,색다른 분위기 속에서 맛있는 오리구이를 먹을 수 있어서 좋았어요 :) 된장찌개도 무제한이라 가성비도 좋아요!
91,용인에 이사온 후로 7번째 방문하다가 리뷰는 처음 씁니다. 이렇게 맛있는 오리를 먹을 수 있음에 감사하고 덕분에 이사 온것을 후회한적이 없습니다. 양념도 맛있고 양도 많고 언제먹어도 질리지 않네요 번창하십시오. 사랑해요 자주오리
92,"분위기도 좋고, 오리고기도 야들야들하니 맛있어요"
93,"분위기도 너무 좋고 이모님과 알바생님들이 너무 친절해요.
가족이든 연인이들 누구와 와도 맛있게 먹고 갈 수 있을 것 같아서 추천해요👍👍"
94,맛있습니다🤤
95,"사장님이 너무 친절하시고
주물럭도 너무 맛있어서 호감도 1000% 상승❤️
캠핑장 느낌+돌판 덕분에 야장에서 먹는 느낌도
나고 너무 만족스러운 식사였습니당

다음엔 아박에 술 꼭 먹을거에용!
더보기"
96,"넓은 돌판에 오리고기 구이 먹을 수 있는 용인 김량장동네맛집... 추천드립니다!!

분위기도 좋고 넓고 고기도 맛있고 최고에요!!"
97,"오리로스구이 맛집이네요~^^
초등생 2명 포함 4명이 갔구요, 한마리 시켰는데 양이 푸짐하더라구요
돌판오리구이... 간만에 배부르게 먹었네요
인테리어는 아기자기하게꾸며져있고, 살짝 캠핑장 느낌도 들더라구요
토요일 저녁5시에 예약하고 갔는데 예약이 필수인 곳이네요... 손님이 계속 들어오더라구요.
다시 가보고 싶네요 ~^^
더보기"
